Customer_id,creditscore,Balance,Estimated
15634602,619,0,101349
15647311,608,83808,112543
15619304,502,159661,113932
15701354,699,0,93827
15737888,850,125511,79084
15574012,645,113756,149757
15592531,822,0,10063
15656148,376,115047,119347
15792365,501,142051,74941
15592389,684,134604,71726
15767821,528,102017,80181
15737173,497,0,76390
15632264,476,0,26261
15691483,549,0,190858
15600882,635,0,65952
15643966,616,143129,64327
15737452,653,132603,5098
15788218,549,0,14406
15661507,587,0,158685
15568982,726,0,54724
15577657,732,0,170886
15597945,636,0,138555
15699309,510,0,118914
15725737,669,0,8488
15625047,846,0,187616
15738191,577,0,124508
15736816,756,136816,170042
15700772,571,0,38433
15728693,574,141349,100187
15656300,411,59697,53483
15589475,591,0,140469
15706552,533,85312,156732
15750181,553,110113,81899
15659428,520,0,34411
15732963,722,0,142033
15794171,475,134264,27823
15788448,490,145260,114067
15729599,804,76549,98453
15717426,850,0,40813
15585768,582,70349,178074
15619360,472,0,70154
15738148,465,122522,181298
15687946,556,117419,94154
15755196,834,131395,194366
15684171,660,155931,158338
15754849,776,109421,126517
15602280,829,112046,119708
15771573,637,137844,117623
15766205,550,103391,90878
15771873,776,103769,194099
15616550,698,116363,198059
15768193,585,146051,86425
15683553,788,0,116978
15702298,655,125562,164041
15569590,601,98496,40015
15760861,619,125212,113410
15630053,656,127864,87108
15647091,725,75888,45614
15623944,511,0,1643
15804771,614,40686,46775
15651280,742,136857,84510
15773469,687,152329,126495
15702014,555,56085,178798
15751208,684,78707,99398
15592461,603,109166,92841
15789484,751,169831,27758
15696061,581,101633,110432
15641582,735,123180,196673
15638424,661,150726,113657
15755648,675,98373,18203
15703793,738,133745,28374
15620344,813,0,33954
15812518,657,163607,44204
15779052,604,157781,58427
15770811,519,0,145562
15780961,735,178718,22388
15614049,664,0,139162
15662085,678,0,148211
15575185,757,77253,194240
15803136,416,122190,98302
15706021,665,96646,171414
15663706,777,0,136458
15641732,543,0,26020
15701164,506,90308,159235
15738751,493,0,1908
15805254,652,0,114676
15762418,750,121682,128643
15625759,729,0,151869
15622897,646,0,93251
15767954,635,81624,156791
15757535,647,0,174205
15731511,808,118627,147132
15809248,524,0,109615
15640635,769,0,172291
15676966,730,0,85982
15699461,515,176274,121278
15738721,773,102827,64595
15693683,814,97086,197276
15604348,710,0,99645
15633059,413,0,6534
15808582,665,0,161848
15743192,623,0,167162
15580146,738,82674,41971
15776605,528,0,60537
15804919,670,0,177656
15613854,622,107073,30985
15599195,582,88939,10055
15812878,785,99807,36977
15602312,605,150093,71863
15744689,479,92834,99450
15803526,685,90537,63083
15665790,538,108055,27231
15715951,562,100238,86797
15591100,675,106191,22994
15609618,721,154476,101301
15675522,628,132351,74169
15705512,668,167864,115638
15698028,506,0,31766
15661670,524,107819,199725
15600781,699,185174,120834
15682472,828,129433,38132
15580203,674,120193,100131
15690673,656,0,141070
15760085,684,126384,198129
15779659,625,0,183646
15627360,432,152603,110265
15671137,549,0,8636
15782688,625,148507,46824
15575492,828,0,171379
15591607,770,101827,167256
15740404,758,0,124226
15718369,795,130862,114935
15677871,687,122571,35609
15642004,686,0,16459
15712543,789,124828,124411
15584518,589,144895,34941
15802381,461,63664,167784
15610156,637,133463,93165
15594408,584,213146,75161
15640905,579,129490,8591
15698932,756,137452,189544
15724944,663,0,180427
15628145,682,125852,193318
15713483,793,0,159124
15612350,691,40916,126214
15800703,485,113157,54142
15705707,635,138297,141076
15754105,650,106967,24495
15703264,735,120682,74836
15794413,416,0,879
15650237,754,0,89521
15759618,535,0,149893
15811589,716,0,180800
15689044,539,127610,98646
15709368,614,0,109042
15679145,706,0,17941
15655007,758,0,82996
15623595,586,0,92067
15589975,646,97259,104720
15804017,631,123247,112688
15692132,717,101060,84700
15641122,684,0,83474
15630910,800,108007,47125
15680772,721,0,106978
15658929,683,133703,55583
15585388,660,125190,139874
15724623,704,113034,162503
15588537,615,109013,196500
15574692,667,0,40721
15611325,682,57930,53134
15587562,484,130114,164018
15613172,628,95826,155997
15651022,480,129609,5473
15586310,578,169462,112187
15625524,512,0,146458
15755209,484,133868,27286
15645248,510,0,130553
15790355,606,190479,179352
15762615,597,101993,94774
15625426,754,161609,8081
15716334,850,122311,19483
15789669,510,0,48072
15621075,778,162150,174531
15810845,636,0,55471
15719377,804,0,8547
15654506,514,0,95857
15771977,730,99011,194946
15708710,525,0,131522
15726676,616,0,196109
15587421,687,111388,148565
15726931,715,56215,92983
15771086,512,84328,17675
15756850,479,0,114996
15702741,601,93013,86957
15679200,580,61710,128078
15594815,807,174790,600
15635905,616,0,43001
15777892,721,107721,158591
15656176,501,0,47847
15811127,521,96424,10488
15604482,850,141040,5978
15622911,759,105420,121409
15600974,516,0,146146
15727868,711,129022,14375
15627801,512,176667,94671
15773039,550,0,179670
15755262,608,89764,199305
